,title,recipe_data_output,model_output
106,cutout cookie,"[""'shortening'"", ""'butter'"", ""'sugar'"", ""'eggs'"", ""'vanilla'"", ""'flour'"", ""'baking powder'"", ""'salt'""]","

Flour, sugar, butter, eggs, baking powder, salt, vanilla extract"
107,don juan s sangria,"[""'lime'"", ""'orange'"", ""'apple'"", ""'sugar'"", ""'red spanish'"", ""'brandy'"", ""'triple sec'"", ""'club soda'""]","

Red wine, orange juice, lemon juice, lime juice, brandy, triple sec, sugar, orange slices, lemon slices, lime slices, fresh mint leaves"
108,ranch beef and beans,"[""'hamburger'"", ""'onion'"", ""'kidney beans'"", ""'butter beans'"", ""'beans'"", ""'ketchup'"", ""'green chilies'"", ""'mustard'"", ""'beef bouillon'"", ""'water'"", ""'honey'"", ""'bell pepper'"", ""'worcestershire sauce'"", ""'garlic'""]","

Ground beef, onion, garlic, chili powder, cumin, oregano, black beans, kidney beans, diced tomatoes, tomato sauce, Worcestershire sauce, ranch dressing mix."
109,crisp oatmeal cookies,"[""'cooking oats'"", ""'brown sugar'"", ""'salad oil'"", ""'eggs'"", ""'salt'"", ""'almond extract'""]","

Flour, rolled oats, butter, sugar, brown sugar, baking soda, salt, vanilla extract, eggs"
110,souper tuna crunch,"[""'chinese noodles'"", ""'campbell's cream'"", ""'water'"", ""'chicken'"", ""'cashews'"", ""'celery'"", ""'onion'"", ""'peas'"", ""'soy sauce'""]","

Tuna, mayonnaise, celery, onion, bread crumbs, parsley, lemon juice, salt, pepper."
111,cheese ham ball,"[""'cheddar cheese'"", ""'cream cheese'"", ""'ham'"", ""'pimiento'"", ""'parsley'"", ""'worcestershire sauce'"", ""'onion'""]","

Cheese, Ham, Breadcrumbs, Egg, Onion, Parsley, Mustard, Salt, Pepper"
112,cheese ball,"[""'cream cheese'"", ""'black olives'"", ""'armour dried beef'"", ""'green onions'"", ""'mushrooms'""]","

Cream cheese, cheddar cheese, garlic powder, onion powder, Worcestershire sauce, parsley, pecans, bacon bits."
113,pasta chicken salad  calories per serving,"[""'shells'"", ""'chicken'"", ""'broccoli flowerets'"", ""'cauliflower'"", ""'carrots'"", ""'green onions'"", ""'fresh mushrooms'"", ""'italian salad dressing'"", ""'milk'"", ""'salt'""]","

Pasta, Chicken, Celery, Mayonnaise, Salt, Pepper, Lemon Juice, 150 Calories per Serving."
114,zucchini artichoke continental,"[""'frozen artichoke'"", ""'water'"", ""'zucchini'"", ""'fresh mushrooms'"", ""'green onion'"", ""'garlic'"", ""'margarine'"", ""'tomatoes'"", ""'parmesan cheese'""]","

Zucchini, artichoke, olive oil, garlic, onion, oregano, thyme, parsley, salt, pepper."
115,supreme beef casserole,"[""'ground chuck'"", ""'shortening'"", ""'tomatoes'"", ""'tomato sauce'"", ""'salt'"", ""'sugar'"", ""'garlic'"", ""'egg noodles'"", ""'sour cream'"", ""'cream cheese'"", ""'green onions'"", ""'grated cheese'""]","

Beef, Onion, Carrots, Celery, Potatoes, Garlic, Tomato Paste, Red Wine, Beef Stock, Worcestershire Sauce, Thyme, Bay Leaves, Salt, Pepper."
116,chicken salad,"[""'chunk white chicken'"", ""'celery'"", ""'almonds'"", ""'water chestnuts'"", ""'white grapes'"", ""'salt'"", ""'pepper'"", ""'lemon juice'"", ""'curry powder'"", ""'nonfat mayonnaise'""]","

Chicken, mayonnaise, celery, onion, salt, pepper, lemon juice, parsley, grapes, walnuts."
117,chess pie,"[""'margarine'"", ""'sugar'"", ""'meal'"", ""'vinegar'"", ""'eggs'"", ""'salt'"", ""'vanilla'""]","

Eggs, Sugar, Butter, Flour, Milk, Vanilla Extract, Salt, Cornmeal, Vinegar"
118,cold spaghetti salad,"[""'vermicelli'"", ""'bell pepper'"", ""'zucchini'"", ""'purple onion'"", ""'salad supreme seasoning'""]","

Tomatoes, Cucumbers, Olives, Red Onion, Garlic, Parsley, Olive Oil, Red Wine Vinegar, Salt, Pepper, Spaghetti"
119,chicken spaghetti,"[""'chicken'"", ""'cream of mushroom soup'"", ""'cream of chicken soup'"", ""'tomatoes'"", ""'your choice'"", ""'spaghetti'"", ""'steak seasoning'""]","

Chicken, spaghetti, onion, garlic, bell pepper, tomato sauce, olive oil, oregano, basil, parsley, salt, pepper."
120,cheese ball,"[""'cream cheese'"", ""'sharp cheese'"", ""'mayonnaise'"", ""'worcestershire sauce'"", ""'garlic salt'"", ""'celery salt'"", ""'onion salt'"", ""'pimento'"", ""'olives'"", ""'parsley flakes'"", ""'beef'""]","

Cream cheese, cheddar cheese, garlic powder, onion powder, Worcestershire sauce, parsley, pecans, bacon bits."
121,pistachio salad,"[""'pistachio pie filling'"", ""'pineapple'"", ""'marshmallows'""]","

Pistachios, celery, red onion, mayonnaise, lemon juice, honey, salt, pepper."
122,good sweet muffins,"[""'egg'"", ""'milk'"", ""'vegetable oil'"", ""'flour'"", ""'sugar'"", ""'baking powder'"", ""'salt'"", ""'blueberries'""]","

Flour, sugar, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract, cinnamon, nutmeg, raisins, chocolate chips"
123,vanilla creme dessert,"[""'flour'"", ""'margarine'"", ""'pecans'"", ""'cream cheese'"", ""'powdered sugar'"", ""'instant vanilla pudding'"", ""'milk'""]","

Milk, Sugar, Vanilla Extract, Egg Yolks, Cornstarch, Butter, Heavy Cream"
124,st  joseph s zeppole,"[""'water'"", ""'butter'"", ""'sugar'"", ""'flour'"", ""'eggs'""]","

Flour, sugar, baking powder, salt, eggs, butter, ricotta cheese, vanilla extract, orange zest, vegetable oil, powdered sugar."
125,corn  oysters,"[""'cream-style corn'"", ""'eggs'"", ""'onion'"", ""'crackers'"", ""'salt'""]","

corn, oysters"
126,bright party beans,"[""'ground beef'"", ""'onion'"", ""'beans'"", ""'kidney beans'"", ""'yellow lima beans'"", ""'green baby'"", ""'brown sugar'"", ""'syrup'"", ""'chili powder'"", ""'ketchup'"", ""'mustard'"", ""'salt'""]","

Black beans, kidney beans, pinto beans, diced tomatoes, onion, garlic, jalapeno, cumin, chili powder, oregano, olive oil, salt, pepper."
127,apricot dessert,"[""'cake'"", ""'apricot nectar'"", ""'sugar'"", ""'cornstarch'"", ""'walnuts'""]","

Apricots, sugar, butter, flour, eggs, vanilla extract, cinnamon, nutmeg, salt"
128,honey almond squares,"[""'cake mix'"", ""'cream cheese'"", ""'alfalfa honey'"", ""'almonds'""]","

Flour, sugar, butter, honey, almonds, baking powder, salt"
129,chicken casserole,"[""'rice'"", ""'onion soup'"", ""'cream of chicken'"", ""'mushrooms'"", ""'bite'""]","

Chicken, onion, celery, carrots, mushrooms, garlic, thyme, bay leaves, chicken broth, cream of mushroom soup, butter, flour, salt, pepper."
130,artichoke dip,"[""'mayonnaise'"", ""'romano cheese'"", ""'artichokes'""]","

Mayonnaise, Parmesan cheese, artichokes, garlic, lemon juice, salt, pepper."
131,french onion soup,"[""'butter'"", ""'onions'"", ""'beef stock'"", ""'chicken stock'"", ""'worcestershire sauce'"", ""'bay leaf'"", ""'garlic salt'"", ""'black pepper'"", ""'salt'""]","

Onion, Beef Stock, Butter, Flour, White Wine, Thyme, Bay Leaf, Salt, Pepper, Gruyere Cheese, Croutons"
132,apple pie,"[""'apples'"", ""'sugar'"", ""'flour'"", ""'cinnamon'"", ""'salt'""]","

Flour, butter, sugar, apples, cinnamon, nutmeg, salt, lemon juice"
133,sloppy joes,"[""'hamburger'"", ""'ketchup'"", ""'worcestershire sauce'"", ""'mustard'"", ""'sugar'"", ""'salt'""]","

Ground beef, onion, garlic, tomato sauce, ketchup, Worcestershire sauce, brown sugar, mustard, chili powder, salt, pepper."
134,up cake,"[""'flour'"", ""'sugar'"", ""'eggs'"", ""'butter'"", ""'lemon flavor'"", ""'yellow food coloring'""]","

Flour, Sugar, Baking Powder, Salt, Milk, Butter, Eggs, Vanilla Extract"
135,corned beef dip,"[""'corned beef'"", ""'cream cheese'"", ""'mayonnaise'"", ""'pickles'"", ""'onion'"", ""'horseradish'"", ""'worcestershire sauce'"", ""'pickle juice'""]","

Corned beef, cream cheese, mayonnaise, horseradish, Worcestershire sauce, garlic powder, onion powder, black pepper."
136,chocolate pie,"[""'sugar'"", ""'milk'"", ""'cocoa'"", ""'flour'"", ""'egg yolks'"", ""'clump'"", ""'vanilla'"", ""'boiling water'""]","

Crust, Chocolate, Sugar, Butter, Eggs, Milk, Vanilla Extract, Salt"
137,tater tot casserole,"[""'tater'"", ""'ground beef'"", ""'onion'"", ""'bell pepper'"", ""'cream of mushroom soup'"", ""'cream of celery soup'"", ""'cream of chicken soup'"", ""'grated cheese'""]","

Ground beef, onion, garlic, frozen tater tots, cream of mushroom soup, cheddar cheese, sour cream, salt, pepper."
138,blackberry pie,"[""'sugar'"", ""'cornstarch'"", ""'water'"", ""'flavored gelatin'"", ""'fresh blackberries'"", ""'pastry shell'""]","

Blackberries, sugar, flour, butter, cinnamon, nutmeg, salt, lemon juice"
139,caramel pie,"[""'coconut'"", ""'margarine'"", ""'slivered almonds'"", ""'milk'"", ""'graham cracker crusts'"", ""'cream cheese'"", ""'caramel topping'""]","

Sugar, butter, eggs, corn syrup, vanilla extract, heavy cream, salt, pie crust"
140,dill dip,"[""'miracle'"", ""'sour cream'"", ""'onion'"", ""'parsley flakes'"", ""'dill weed'""]","

Mayonnaise, sour cream, dill, garlic powder, onion powder, lemon juice, salt, pepper."
141,broccoli cornbread,"[""'onion'"", ""'oil'"", ""'frozen broccoli'"", ""'margarine'"", ""'mix'"", ""'eggs'"", ""'cottage cheese'""]","

Flour, cornmeal, baking powder, salt, butter, eggs, milk, broccoli, cheddar cheese"
142,vegetable soup,"[""'onion'"", ""'potato'"", ""'green sweet peppers'"", ""'celery'"", ""'carrots'"", ""'macaroni'"", ""'ground turkey'"", ""'beans'"", ""'bay leaf'"", ""'italian seasoning'"", ""'sweet peas'"", ""'tomato juice'""]","

Carrots, Celery, Onion, Potatoes, Tomatoes, Green Beans, Broth, Olive Oil, Garlic, Parsley, Salt, Pepper"
143,chocolate peanut butter cake,"[""'cocoa'"", ""'oleo'"", ""'flour'"", ""'sugar'"", ""'baking soda'"", ""'salt'"", ""'eggs'"", ""'vanilla'"", ""'water'"", ""'buttermilk'""]","

Flour, Sugar, Cocoa Powder, Baking Soda, Baking Powder, Salt, Butter, Eggs, Vanilla Extract, Milk, Peanut Butter, Chocolate Chips"
144,magic cookie bars,"[""'butter'"", ""'graham cracker crumbs'"", ""'milk'"", ""'semi-sweet chocolate chips'"", ""'flaked coconut'"", ""'nuts'""]","

Butter, graham cracker crumbs, sweetened condensed milk, chocolate chips, butterscotch chips, flaked coconut, chopped nuts"
145,pecan pralines,"[""'sugar'"", ""'brown sugar'"", ""'milk'"", ""'butter'"", ""'pecans'"", ""'coconut'""]","

Brown sugar, granulated sugar, butter, evaporated milk, vanilla extract, pecans, baking soda"
146,chocolate  stuff,"[""'chocolate pudding'"", ""'vanilla wafers'"", ""'pecans'""]","

Cocoa, sugar, milk, butter, vanilla extract, emulsifiers, lecithin, flavoring agents"
147,easy chocolate frosting,"[""'white sugar'"", ""'butter'"", ""'milk'"", ""'chocolate chips'"", ""'vanilla'""]","

Butter, cocoa powder, powdered sugar, milk, vanilla extract"
148,no bake pumpkin pie,"[""'unflavored gelatine'"", ""'milk'"", ""'eggs'"", ""'pumpkin'"", ""'cinnamon'"", ""'ginger'"", ""'salt'"", ""'pie shells'""]","

Cream cheese, pumpkin puree, sweetened condensed milk, pumpkin pie spice, graham cracker crust, whipped cream."
149,baked french toast,"[""'eggs'"", ""'sugar'"", ""'ground nutmeg'"", ""'orange juice'"", ""'cream'"", ""'vanilla'""]","

Eggs, Milk, Vanilla Extract, Bread, Cinnamon, Sugar, Butter"
150,puppy chow,"[""'cereal'"", ""'chocolate chips'"", ""'powdered sugar'"", ""'peanut butter'"", ""'margarine'"", ""'vanilla'""]","

Chex cereal, peanut butter, chocolate chips, butter, powdered sugar, vanilla extract"
151,tamale casserole,"[""'yellow hominy'"", ""'olives'"", ""'green chilies'"", ""'tamales'"", ""'cheddar cheese'"", ""'onions'""]","

Ground beef, onion, garlic, chili powder, cumin, oregano, diced tomatoes, corn, black beans, masa harina, vegetable broth, shredded cheese, jalapeno peppers, cilantro, salt, pepper."
152,taco dip,"[""'beans'"", ""'guacamole dip'"", ""'sour cream'"", ""'mayonnaise'"", ""'taco seasoning'"", ""'mozzarella cheese'"", ""'cheddar cheese'"", ""'green onions'""]","

Sour cream, cream cheese, salsa, taco seasoning, black olives, tomatoes, green onions, jalapenos, shredded cheese, guacamole."
153,bonnie s bread,"[""'water'"", ""'cake yeast'"", ""'salt'"", ""'eggs'"", ""'sugar'""]","

Flour, Yeast, Salt, Water, Sugar, Butter, Milk, Honey, Eggs, Herbs, Spices."
154,chicken pot pie,"[""'chicken'"", ""'cream of mushroom soup'"", ""'chicken broth'"", ""'peas'"", ""'onion'"", ""'oleo'"", ""'milk'"", ""'baking powder'"", ""'flour'""]","

Crust, chicken, carrots, celery, onion, potatoes, butter, flour, chicken broth, milk, salt, pepper, herbs."
155,smoked turkey risotto,"[""'chicken'"", ""'olive'"", ""'green onions'"", ""'clove garlic'"", ""'arborio'"", ""'oregano'"", ""'salt'"", ""'black pepper'"", ""'spinach'"", ""'parmesan cheese'""]","

Smoked turkey, Arborio rice, onion, garlic, butter, white wine, vegetable broth, Parmesan cheese, parsley, thyme, black pepper"
156,watergate cake,"[""'white cake mix'"", ""'+'"", ""'pistachio instant pudding'"", ""'ginger ale'"", ""'eggs'"", ""'pecans'"", ""'cool whip'"", ""'milk'"", ""'pistachio instant pudding'""]","

Butter, sugar, eggs, vanilla extract, all-purpose flour, baking powder, salt, milk, chopped walnuts, crushed pineapple, cream cheese, confectioners' sugar"
157,plum muffins,"[""'flour'"", ""'walnuts'"", ""'eggs'"", ""'sugar'"", ""'allspice'"", ""'oil'""]","

Flour, sugar, baking powder, baking soda, salt, butter, eggs, milk, plums, cinnamon, nutmeg"
158,cranberry punch,"[""'cranberry juice'"", ""'ginger ale'"", ""'o'"", ""'boiling water'"", ""'frozen lemonade'"", ""'cold water'""]","

Cranberry juice, orange juice, pineapple juice, lime juice, ginger ale, orange slices, cranberries, sugar, ice cubes"
159,sweet potato pie,"[""'sweet potatoes'"", ""'butter'"", ""'sugar'"", ""'eggs'"", ""'nutmeg'""]","

Sweet potatoes, sugar, butter, eggs, evaporated milk, vanilla extract, cinnamon, nutmeg, all-purpose flour, salt, pie crust"
160,butternut pound cake,"[""'sugar'"", ""'crisco oil'"", ""'eggs'"", ""'flour'"", ""'sweet milk'"", ""'vanilla flavor'"", ""'butternut flavor'""]","

Butter, Sugar, Eggs, Vanilla Extract, All-Purpose Flour, Baking Powder, Salt, Butternut Squash Puree, Milk, Cinnamon, Nutmeg, Cloves"
161,morning glory muffins,"[""'flour'"", ""'sugar'"", ""'baking soda'"", ""'ground cinnamon'"", ""'salt'"", ""'carrots'"", ""'raisins'"", ""'coconut'"", ""'pecans'"", ""'pineapple'"", ""'vegetable oil'"", ""'eggs'"", ""'vanilla'""]","

Flour, sugar, baking powder, baking soda, salt, cinnamon, nutmeg, vegetable oil, eggs, applesauce, carrots, raisins, walnuts, coconut."
162,chicken breasts with wild rice,"[""'wild rice'"", ""'condensed cream'"", ""'onion soup'"", ""'mushrooms'"", ""'water'"", ""'chicken breasts'"", ""'butter'"", ""'cornflake crumbs'""]","

Chicken breasts, wild rice, butter, onion, garlic, celery, carrots, chicken broth, parsley, thyme, bay leaves, salt, pepper."
163,creole green beans,"[""'green pepper'"", ""'onion'"", ""'bacon drippings'"", ""'flour'"", ""'salt'"", ""'sugar'"", ""'paprika'"", ""'tomatoes'"", ""'green peas'""]","

Green beans, onion, garlic, bell pepper, celery, tomato, olive oil, butter, Worcestershire sauce, hot sauce, thyme, oregano, bay leaves, cayenne pepper, salt, pepper."
164,banana bread,"[""'eggs'"", ""'bananas'"", ""'butter'"", ""'sugar'"", ""'flour'"", ""'soda'"", ""'cream of tartar'"", ""'nuts'""]","

Flour, sugar, baking soda, baking powder, salt, butter, eggs, bananas, vanilla extract, walnuts (optional)"
165,corned beef hash swirls,"[""'bisquick'"", ""'beef hash'"", ""'mustard'"", ""'salt'""]","

Potatoes, Corned Beef, Onion, Garlic, Parsley, Paprika, Salt, Pepper"
166,patio potatoes,"[""'hash browns'"", ""'margarine'"", ""'salt'"", ""'pepper'"", ""'onion'"", ""'cream of mushroom soup'"", ""'sour cream'"", ""'grated sharp'""]","

Potatoes, Olive Oil, Salt, Pepper, Garlic Powder, Paprika, Parsley, Parmesan Cheese"
167,sky high biscuits,"[""'flour'"", ""'baking powder'"", ""'sugar'"", ""'salt'"", ""'cream of tartar'"", ""'butter'"", ""'egg'"", ""'milk'""]","

Flour, Sugar, Baking Powder, Salt, Butter, Milk, Vanilla Extract"
168,lasagne,"[""'lean hamburger'"", ""'ricotta cheese'"", ""'lasagne noodles'"", ""'mozzarella cheese'""]","

Lasagne noodles, ground beef, ricotta cheese, mozzarella cheese, parmesan cheese, tomato sauce, garlic, onion, oregano, basil, salt, pepper."
169,german potato salad,"[""'new potatoes'"", ""'onions'"", ""'stalks celery'"", ""'cider vinegar'"", ""'hot bacon'"", ""'bacon'"", ""'salt'"", ""'parsley'""]","

Potatoes, bacon, onion, celery, vinegar, sugar, mustard, salt, pepper, oil."
170,coconut pie,"[""'eggs'"", ""'milk'"", ""'vanilla'"", ""'butter'"", ""'sugar'"", ""'flour'"", ""'coconut'""]","

Crust, coconut, sugar, butter, eggs, milk, vanilla extract, flour, salt"
171,bullets,"[""'ground beef'"", ""'flour'"", ""'salt'""]","

Lead, Gunpowder, Primer, Wax, Felt Wad, Cardboard Wad"
172,mom s pancakes,"[""'flour'"", ""'baking powder'"", ""'salt'"", ""'sugar'"", ""'egg'"", ""'milk'"", ""'butter'""]","

Flour, baking powder, sugar, salt, eggs, milk, butter"
173,pecan kisses,"[""'egg'"", ""'light brown sugar'"", ""'vanilla'"", ""'pecans'""]","

Butter, brown sugar, corn syrup, pecans, vanilla extract, salt, baking soda."
174,pizza casserole,"[""'ground beef'"", ""'sauce'"", ""'mozzarella cheese'"", ""'mushrooms'"", ""'biscuit mix'"", ""'milk'"", ""'eggs'""]","

Ground beef, pizza sauce, mozzarella cheese, pepperoni, onion, bell pepper, garlic, Italian seasoning, penne pasta."
175,chocolate lover s no bake brownies,"[""'semi-sweet chocolate chips'"", ""'condensed milk'"", ""'chocolate wafers'"", ""'nuts'""]","

Cocoa powder, butter, sugar, vanilla extract, salt, milk, oats, walnuts, chocolate chips."
176,broccoli casserole,"[""'broccoli'"", ""'mushroom soup'"", ""'mayonnaise'"", ""'egg'"", ""'onion'"", ""'salt'""]","

Broccoli, cream of mushroom soup, mayonnaise, cheddar cheese, bread crumbs, butter, garlic powder, onion powder, salt, pepper."
177,fruit bars,"[""'flour'"", ""'baking powder'"", ""'almond extract'"", ""'nuts'"", ""'maraschino cherries'"", ""'sugar'"", ""'salt'"", ""'eggs'"", ""'dates'"", ""'semi-sweet chocolate chips'""]","

Apples, Strawberries, Blueberries, Dates, Almonds, Coconut, Honey, Oats"
178,almond roco,"[""'butter'"", ""'sugar'"", ""'water'"", ""'almonds'"", ""'chocolate'"", ""'almonds'""]","

Almonds, Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milkfat, Soy Lecithin, Natural Flavor), Sugar, Corn Syrup, Coconut, Butter, Salt."
179,hungarian stuffed peppers,"[""'peppers'"", ""'onion'"", ""'garlic powder'"", ""'ground beef'"", ""'rice'"", ""'egg'"", ""'salt'""]","

Ground beef, onion, garlic, bell peppers, tomato sauce, paprika, cumin, salt, pepper, rice, parsley, sour cream"
180,lemon pudding pound cake,"[""'eggs'"", ""'yellow cake mix'"", ""'water'"", ""'oil'""]","

Flour, Sugar, Baking Powder, Salt, Butter, Eggs, Milk, Vanilla Extract, Lemon Juice, Lemon Zest"
181,peanut butter cup cookies,"[""'butter'"", ""'peanut butter'"", ""'brown sugar'"", ""'white sugar'"", ""'egg'"", ""'vanilla'"", ""'flour'"", ""'baking soda'"", ""'salt'"", ""'butter'""]","

Flour, sugar, baking soda, salt, butter, peanut butter, eggs, vanilla extract, chocolate chips, peanut butter chips"
182,egg cheese souffle,"[""'eggs'"", ""'milk'"", ""'mustard'"", ""'salt'"", ""'onion powder'"", ""'pepper'"", ""'croutons'""]","

Eggs, cheese, butter, flour, milk, salt, pepper"
183,apple bread,"[""'margarine'"", ""'egg'"", ""'cinnamon'"", ""'ground cloves'"", ""'salt'"", ""'pecans'"", ""'brown sugar'"", ""'flour'"", ""'baking soda'"", ""'ground nutmeg'"", ""'raisins'"", ""'applesauce'""]","

Flour, Sugar, Baking Powder, Salt, Apples, Eggs, Milk, Butter"
184,homemade noodles,"[""'flour'"", ""'eggs'"", ""'water'""]","

Flour, Salt, Egg, Water, Oil"
185,chocolate fudge,"[""'margarine'"", ""'milk'"", ""'sugar'"", ""'marshmallows'"", ""'baking chocolate'"", ""'milk chocolate'"", ""'semi-sweet chocolate'"", ""'vanilla'"", ""'nuts'""]","

Butter, sugar, cocoa powder, evaporated milk, vanilla extract, chopped nuts (optional)"
186,fruit cake,"[""'eggs'"", ""'flour'"", ""'salt'"", ""'sugar'"", ""'baking powder'"", ""'chocolate chips'"", ""'nuts'"", ""'candied cherries'""]","

Flour, Sugar, Butter, Eggs, Baking Powder, Vanilla Extract, Milk, Fruits (Raisins, Cherries, Dates, Prunes, etc.), Nuts (Walnuts, Almonds, etc.), Spices (Cinnamon, Nutmeg, etc.), Salt"
187,cranberry scones,"[""'butter'"", ""'confectioners sugar'""]","

Flour, baking powder, sugar, salt, butter, dried cranberries, heavy cream, egg"
188,brownie pie,"[""'all-purpose'"", ""'cocoa'"", ""'sugar'"", ""'eggs'"", ""'margarine'"", ""'salt'"", ""'vanilla'"", ""'nuts'"", ""'cream'""]","

Flour, cocoa powder, sugar, butter, eggs, baking powder, vanilla extract, salt, chocolate chips"
189,cream puff dessert,"[""'water'"", ""'margarine'"", ""'flour'"", ""'eggs'"", ""'vanilla instant pudding'"", ""'milk'"", ""'cream cheese'"", ""'chocolate syrup'""]","

Cream, puff pastry, butter, sugar, eggs, vanilla extract, powdered sugar, heavy cream"
190,chantilly low fat,"[""'nonfat plain yogurt'"", ""'heavy cream'"", ""'mandarin juice'""]","

Skim Milk, Sugar, Vanilla Extract, Gelatin, Cream of Tartar."
191,golf balls,"[""'cocoa'"", ""'butter'"", ""'powdered sugar'"", ""'milk'"", ""'vanilla'"", ""'peanut butter'""]","

Polybutadiene, Zinc Acrylate, Dimethylformamide, Titanium Dioxide, Stearic Acid, Acrylic Resin, Surlyn, Ionomer Resin, Iron Oxide, Magnesium Hydroxide"
192,crispy herb bread,"[""'olive oil'"", ""'garlic powder'"", ""'bread'"", ""'thyme'"", ""'marjoram'"", ""'paprika'"", ""'parmesan cheese'""]","

Flour, Salt, Yeast, Herbs (e.g. oregano, thyme, rosemary), Olive Oil, Water"
193,festive fruit salad,"[""'pineapple'"", ""'mandarin oranges'"", ""'grapes'"", ""'marshmallows'"", ""'strawberries'"", ""'apples'"", ""'lemon juice'"", ""'orange juice'"", ""'cornstarch'"", ""'sugar'"", ""'bananas'"", ""'nuts'""]","

Strawberries, Blueberries, Raspberries, Kiwi, Pineapple, Mango, Orange, Apple, Grapes, Pomegranate, Coconut flakes."
194,fresh strawberry pie,"[""'strawberries'"", ""'water'"", ""'salt'"", ""'sugar'"", ""'cornstarch'"", ""'cinnamon'"", ""'butter'""]","

Strawberries, sugar, cornstarch, butter, lemon juice, salt, pie crust."
195,egg custard,"[""'sugar'"", ""'eggs'"", ""'milk'"", ""'cornstarch'"", ""'vanilla'"", ""'ground cinnamon'"", ""'pie shell'""]","

Eggs, Milk, Sugar, Vanilla Extract, Nutmeg, Salt"
196,chicken giblet gravy,"[""'chicken broth'"", ""'eggs'"", ""'chicken'"", ""'salt'"", ""'flour'"", ""'water'""]","

Chicken giblets, butter, onion, garlic, flour, chicken broth, black pepper, thyme, parsley, bay leaf, Worcestershire sauce."
197,beef brisket,"[""'beef brisket'"", ""'catsup'"", ""'water'"", ""'onion'"", ""'cider vinegar'"", ""'horseradish'"", ""'mustard'"", ""'salt'"", ""'pepper'""]","

Beef brisket, salt, pepper, garlic, onion, paprika, cumin, chili powder, brown sugar, apple cider vinegar, Worcestershire sauce, beef broth, tomato paste, bay leaves."
198,fruit medley,"[""'tapioca'"", ""'water'"", ""'sugar'"", ""'water'"", ""'orange juice'"", ""'oranges'"", ""'peach slices'"", ""'strawberries'"", ""'bananas'"", ""'lime sherbet'""]","

Strawberries, Blueberries, Raspberries, Apples, Bananas, Grapes, Kiwi, Pineapple, Mango, Oranges"
199,nana s cornbread for  inch iron skillet or   x  inch pan,"[""'corn meal'"", ""'flour'"", ""'sugar'"", ""'salt'"", ""'baking soda'"", ""'egg'"", ""'buttermilk'"", ""'bacon fat'""]","

Cornmeal, Flour, Baking Powder, Salt, Sugar, Milk, Egg, Butter"
200,marinated pork roast,"[""'pork roast'"", ""'sherry'"", ""'mustard'"", ""'thyme'"", ""'soy sauce'"", ""'garlic'"", ""'ginger'""]","

Soy sauce, garlic, brown sugar, olive oil, apple cider vinegar, Worcestershire sauce, black pepper, thyme, rosemary, bay leaves."
201,dad s chili,"[""'pork tenderloin'"", ""'oil'"", ""'garlic'"", ""'green chilies'"", ""'tomatoes'"", ""'water'"", ""'cornstarch'"", ""'garlic salt'""]","

Ground beef, onion, garlic, chili powder, cumin, oregano, red pepper flakes, tomato sauce, diced tomatoes, kidney beans, beef broth."
202,spoon rolls,"[""'egg'"", ""'yeast'"", ""'flour'"", ""'water'"", ""'sugar'""]","

Flour, sugar, butter, eggs, milk, baking powder, salt, vanilla extract"
203,chicago crunchy chocolate chip cookies,"[""'flour'"", ""'baking soda'"", ""'brown sugar'"", ""'milk'"", ""'vanilla'"", ""'cornflakes'"", ""'chocolate'"", ""'salt'"", ""'butter'"", ""'sugar'"", ""'egg'"", ""'vegetable oil'"", ""'oats'""]","

Butter, Sugar, Brown Sugar, Eggs, Vanilla Extract, All-Purpose Flour, Baking Soda, Salt, Chocolate Chips, Chopped Nuts (optional)"
204,salad dressing,"[""'lemon juice'"", ""'honey'"", ""'clove garlic'"", ""'rosemary'"", ""'water'"", ""'onion'"", ""'flax seed'"", ""'parsley'""]","

Olive oil, Balsamic vinegar, Honey, Dijon mustard, Salt, Pepper"
205,leroy s heavenly hash,"[""'no'"", ""'bananas'"", ""'marshmallows'"", ""'pecan pieces'"", ""'pineapple'""]","

Sugar, Cocoa, Marshmallows, Coconut, Walnuts, Corn Syrup, Butter, Vanilla Extract."
206,banana cream pie,"[""'milk'"", ""'heavy cream'"", ""'egg yolks'"", ""'sugar'"", ""'cornstarch'"", ""'vanilla'"", ""'butter'"", ""'bananas'""]","

Crust, Bananas, Heavy Cream, Milk, Sugar, Egg Yolks, Cornstarch, Salt, Vanilla Extract, Butter"
207,marinated onions and blue cheese,"[""'olive oil'"", ""'lemon juice'"", ""'salt'"", ""'pepper'"", ""'sugar'"", ""'cheese'"", ""'onions'""]","

Onion, white wine vinegar, olive oil, garlic, thyme, oregano, black pepper, blue cheese, salt."
208,cheese cake,"[""'graham cracker crumbs'"", ""'butter'"", ""'cinnamon'"", ""'sugar'"", ""'cream cheese'"", ""'milk'"", ""'sugar'"", ""'eggs'"", ""'lemon juice'""]","

Cream cheese, sugar, eggs, butter, graham cracker crumbs, vanilla extract, heavy cream, lemon juice."
